Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
7.274516385742249,000000Z,a3d1b1,adsb_icao,UPS5086 ,N345UP,B763,39000,41375,449.4,53.87,64,2303,none,A5,36.161592,-80.064795,8,186,0.17,2,1,10,1,3,perhour,2,2,0,0,[],[],17960442,0.2,-11.6
6.789581749718571,000000Z,a6cc41,adsb_icao,DAL2251 ,N537US,B752,31000,32850,473.8,53.93,0,3501,none,A4,36.195994,-80.006649,8,186,0.338,2,1,9,1,3,perhour,2,2,0,0,[],[],25998993,0.0,-12.1
0.38035153831304835,000000Z,~2c3d55,tisb_trackfile,,,,800,,0.7,0.0,,,,,36.091553,-79.938927,0,0,2.998,,,0,0,0,unknown,,,0,0,[],"['altitude', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",77,3.0,-28.2
4.305762528639574,000000Z,a8fc09,adsb_icao,UAL1133 ,N67815,B739,33000,35075,474.7,55.04,0,6152,none,A3,36.116455,-79.851608,8,186,0.049,2,1,9,1,3,perhour,2,2,0,0,[],[],35762271,0.0,-16.2
7.063587209576482,000005Z,a3d1b1,adsb_icao,UPS5086 ,N345UP,B763,39000,41375,449.4,53.87,64,2303,none,A5,36.167725,-80.054398,8,186,0.005,2,1,10,1,3,perhour,2,2,0,0,[],[],17960484,0.0,-15.7
6.893085462067103,000005Z,a6cc41,adsb_icao,DAL2251 ,N537US,B752,31000,32850,473.8,53.93,0,3501,none,A4,36.202418,-79.995721,8,186,0.274,2,1,9,1,3,perhour,2,2,0,0,[],[],25999034,0.0,-12.2
0.38035153831304835,000005Z,~2c3d55,tisb_trackfile,,,,800,,0.7,0.0,,,,,36.091553,-79.938927,0,0,7.998,,,0,0,0,unknown,,,0,0,[],"['altitude', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",77,8.0,-28.2
4.926002099377577,000005Z,a8fc09,adsb_icao,UAL1133 ,N67815,B739,33000,35075,474.7,55.04,0,6152,none,A3,36.122726,-79.840565,8,186,0.0,2,1,9,1,3,perhour,2,2,0,0,[],[],35762314,0.0,-12.4
6.9000531116679555,000010Z,a3d1b1,adsb_icao,UPS5086 ,N345UP,B763,39025,41400,449.4,53.87,64,2303,none,A5,36.174115,-80.04364,8,186,0.0,2,1,10,1,3,perhour,2,2,0,0,[],[],17960539,0.0,-11.0
7.064773348128282,000010Z,a6cc41,adsb_icao,DAL2251 ,N537US,B752,31000,32850,473.8,53.93,0,3501,none,A4,36.209122,-79.984326,8,186,0.193,2,1,9,1,3,perhour,2,2,0,0,[],[],25999081,0.2,-7.5
0.38035153831304835,000010Z,~2c3d55,tisb_trackfile,,,,800,,0.7,0.0,,,,,36.091553,-79.938927,0,0,12.998,,,0,0,0,unknown,,,0,0,[],"['altitude', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",77,13.0,-28.2
5.571331491133473,000010Z,a8fc09,adsb_icao,UAL1133 ,N67815,B739,33000,35075,474.7,55.04,0,6152,none,A3,36.129192,-79.829231,8,186,0.0,2,1,9,1,3,perhour,2,2,0,0,[],[],35762358,0.0,-15.7
6.798844303268811,000015Z,a3d1b1,adsb_icao,UPS5086 ,N345UP,B763,39025,41400,448.8,53.97,0,2303,none,A5,36.179993,-80.033684,8,186,0.115,2,1,10,1,3,perhour,2,2,0,0,[],[],17960585,0.0,-11.5
