Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
1.4504033811907724,000000Z,aacd9e,adsr_icao,N79549  ,N79549,C172,1100,1000,67.5,230.41,,,,A1,36.114016,-79.915194,0,0,37.817,,0,9,0,3,perhour,2,2,0,0,[],[],1866686,37.8,-3.4
8.98479049340447,000000Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36000,37850,385.0,216.13,64,3447,none,A3,36.2155,-79.82292,8,186,0.188,2,1,10,2,3,perhour,2,2,0,0,[],[],35410085,0.0,-7.9
1.4505155316645884,000005Z,aacd9e,other,N79549  ,N79549,C172,1100,1000,67.5,47.0,0,5215,,A1,36.114017,-79.915192,0,0,2.616,,0,,,,,,,0,0,[],[],1866687,2.6,-49.5
8.430103718663688,000005Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36000,37850,385.8,216.04,64,3447,none,A3,36.208008,-79.829636,8,186,0.0,2,1,10,2,3,perhour,2,2,0,0,[],[],35410129,0.0,-11.1
1.4505155316645884,000010Z,aacd9e,other,N79549  ,N79549,C172,1100,1000,67.5,47.0,0,5215,,A1,36.114017,-79.915192,0,0,7.616,,0,,,,,,,0,0,[],[],1866687,7.6,-49.5
7.948618345972048,000010Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36000,37850,386.4,216.16,0,3447,none,A3,36.201508,-79.835472,8,186,0.43,2,1,10,2,3,perhour,2,2,0,0,[],[],35410181,0.1,-8.6
9.89364065442427,000015Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,127.3,79.13,128,1200,none,A7,35.96598,-80.059652,9,75,0.797,2,1,10,2,3,perhour,2,2,0,0,[],[],350359,0.8,-25.3
0.24223494773176094,000015Z,~2c3336,tisb_other,,,,800,1575,220.5,220.77,,,,,36.100655,-79.933835,6,926,1.877,,,6,0,2,unknown,,,0,0,[],"['altitude', 'alt_geom', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",6,0.3,-4.6
1.4505155316645884,000015Z,aacd9e,other,N79549  ,N79549,C172,1100,1000,67.5,47.0,0,5215,,A1,36.114017,-79.915192,0,0,12.616,,0,,,,,,,0,0,[],[],1866687,12.6,-49.5
7.370681929464311,000015Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37875,385.8,216.04,0,3447,none,A3,36.193726,-79.84251,8,186,0.101,2,1,10,2,3,perhour,2,2,0,0,[],[],35410228,0.0,-13.2
9.840020789608957,000020Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,127.3,79.13,128,1200,none,A7,35.966212,-80.058191,9,75,2.037,2,1,10,2,3,perhour,2,2,0,0,[],[],350365,0.3,-17.7
