Filename,Start,End,Time,Transcription
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:00,00:00:03,000000Z,runway two three rig fli fo zro
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:04,00:00:17,000000Z,read m runway hold short instruction contact rondon  point nine for clearance and taxi instruction adi  iia contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:21,00:00:26,000000Z,greasp airport eites information echo two three five four zulu
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:27,00:00:30,000000Z,wind calm one zero
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:31,00:00:45,000000Z,cealing two five thousand broken two three two point three three zero two four visual approach five right five left and yuth notice t eirmisio
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:46,00:00:49,000000Z,runway one four three two close
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:50,00:01:19,000000Z,taxi way delta closed between taxi way kilo and taxi way delto one taxi way kilo klosed between runway one for and taxi way kilo one taxi way te one betwen taxi way delta and  ils runway five right out of service runway five righ approach fht istm out of service runway five right precision approach passing t kaber out of servie runway two three righlt rea tak runway hold short and
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:01:20,00:01:30,000000Z,contact ground two one doint nine for clearance and taxi instructions adlis on initial contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:01:34,00:02:14,000000Z,reenborow aerport att informatio echo two three five four zuluwnd calm one zero velig two five thousand broken two three two point three a e thre zero two four visual approach five righ five left an us noci runway one four three two cos taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:15,00:02:38,000000Z,ils runway five right out of service runway five right approach  sitm out of service runway five right precision approach assintiter out of service runway two three rea  runway hold short indstruction contact groundo to on poit nine for clearance and taxi instruction
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:39,00:02:43,000000Z,advin initial contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:47,00:02:53,000000Z,greenor ar pourt da  information echo two three five four zulu wind calm
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:54,00:03:33,000000Z,one zero velg two five thousand broken two three two point three ati  three zero two four visual ap proach five right five left nut irunway one four three two close taxi way delta close between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and te ils runway five right out of service runway five right pproach lttm out of service
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:34,00:03:41,000000Z,runway five right  approach ass indicater out of service runway two three right flight flev
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:42,00:03:55,000000Z,re runway hold short instruction contact roendo point nine for clearance and taxi instrcion ad contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:59,00:04:08,000000Z,greanbr airport ai information echo two three five four zulu wind calm  one o zero
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:09,00:04:23,000000Z,cealing two five thousand broken two three two point three three zero two four visual approach five right five left and us noticeermisi
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:24,00:04:27,000000Z,runway one four three two lose
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:28,00:05:08,000000Z,taxi way delta closed between taxi way kilo and taxi wayt eto one taxi way kilo closed between runway one four and taxi way kilo one taxi way deto one between taxi way delta and  ils runway five right ou of service runway five righ approach tt out of service runway five right precisin approach passing de out of service runway two three righl rea a ol runway hold short andtrction contact ground on to one point nine for clearance and taxi instrction advi t you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:05:12,00:05:52,000000Z,breenpo aerport at information echo two three five four zuluwindcalms one zero veelig two five thousand broken two three two poimnt three ibe thre zero to four visual approach five righ five left and yu runway one four three two close taxi way delta klosed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and
