Filename,Start,End,Time,Transcription
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:01:58,00:02:16,000000Z,ive five n six fivecosseob five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:02:40,00:02:44,000000Z,rsix fove four golf
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:02:50,00:02:56,000000Z,ap
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:17,00:03:22,000000Z,six fiv o olf sqawk two zero two four
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:49,00:03:55,000000Z,onienine six fox crto thre thousand foxt fr
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:56,00:04:00,000000Z,epep
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:04:05,00:04:10,000000Z,ollev three zero two four
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:05:06,00:05:14,000000Z,t seven six  fheading three three five bact tothre treeven i tree one
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:06:22,00:06:28,000000Z,se sixt six thousad six tousadu six
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:02,00:07:08,000000Z,thr trefours
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:15,00:07:32,000000Z,to five fouripp ixpect fyeright
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:33,00:07:39,000000Z,ibing arcor altve three zero two five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:08:32,00:08:40,000000Z,eht fortn two si four one five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:08:41,00:08:42,000000Z,tro
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:09:28,00:09:34,000000Z,fifty seven sixty nine to  three thouand six teen oine
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:10:18,00:10:26,000000Z,tree trenty five eading two three five teel itree five e
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:11:50,00:11:58,000000Z,seven six  three one four zero o one four zeroseven six
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:12:38,00:12:43,000000Z,t sixty seven sixty niner four quak one zero
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:12:46,00:12:57,000000Z,swiss nine zr svesixnifire break  nineteen onee
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:13:11,00:13:12,000000Z,praha
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:14:26,00:14:35,000000Z,two five r four thre our efour tree to fiveart firb four tefour five
