Filename,Start,End,Time,Transcription
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:11:11,00:11:13,000000Z,fove five three grean tor clark
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:11:27,00:11:37,000000Z,yeu ere cleared op oft and you ll be pushing back ater
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:12:38,00:12:47,000000Z,fivefive three heav y released atd five four five nd time now one three and we might be able to move that
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:13:14,00:13:23,000000Z,seven sixty nine zur zuro fur sixty none greans towerwifiveazro six nne
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:17:03,00:17:05,000000Z,aero flot o four
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:17:06,00:17:07,000000Z,four re
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:17:08,00:17:16,000000Z,owtwo two five five ie clear to land wn one three zero three five
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:18:00,00:18:11,000000Z,seixt kilothr fourkt whatever you like left kilo three thre fives
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:18:24,00:18:29,000000Z,kilo juliett s o fivei sv ss
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:19:20,00:19:34,000000Z,one d clear clear to airporttt maintain five thousand six six thoumo one o six pot six squawk five two three zero
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:21:35,00:21:45,000000Z,itkilottwo tiand tre  five good nigt
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:27:52,00:27:56,000000Z,onefveo
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:29:52,00:29:58,000000Z,zero seven zeroefor takeoff when called
KGSO1-Twr-Jun-01-2024-0000Z.wav,00:31:45,00:31:48,000000Z,contact porter
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:00:00,00:00:02,003000Z,three golf k
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:01:48,00:01:51,003000Z,por
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:02:20,00:02:31,003000Z,tower os thre nine fivetowrrwhenkoldvre cleared to land three nine six
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:08:46,00:08:47,003000Z,holf
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:09:13,00:09:24,003000Z,wsx  three kilo kilo thre thie
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:09:30,00:09:41,003000Z,nthree ruing four six nf tak kilo one intersection fouro seven thousand one hundred
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:09:46,00:09:48,003000Z,or shoru
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:12:04,00:12:13,003000Z,juliett to kilo to crossfveo kiloto mike
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:14:17,00:14:21,003000Z,cross unway three two one mike alfa
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:16:44,00:16:46,003000Z,tomis t toe fov
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:16:47,00:16:54,003000Z,three roger aboutminutfor zero
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:18:22,00:18:33,003000Z,tn the heading zero v zerofiv ceared for taof in two one zero four ta zero five zero american tenty tenty three five  cleared for takeoff
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:18:38,00:18:50,003000Z,five fie clear to land wid two zero four five fivef ir sit
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:20:20,00:20:25,003000Z,three cto four s
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:20:51,00:20:53,003000Z,fo short
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:20:56,00:20:59,003000Z,equet
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:23:20,00:23:34,003000Z,kito kilolklo to kiloti twotwozetro two
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:23:36,00:23:41,003000Z,two cleard ninethree atthe transicon
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:23:42,00:23:52,003000Z,matn three thousand x iouonrquecy one sixfour point three five squak five one one one
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:23:53,00:24:06,003000Z,fouu four f fou fourour fourfour four four four four
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:29:33,00:29:47,003000Z,sapproach aust nine four zwer zwo one and four thousand u five fivezr zero five cleur to land five five le l for zero zo
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:30:20,00:30:22,003000Z,tzulu
KGSO1-Twr-Jun-01-2024-0030Z.wav,00:30:28,00:30:31,003000Z,uripostr
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:00:20,00:00:22,010000Z,o
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:00:27,00:00:30,010000Z,cuou
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:03:35,00:03:48,010000Z,three fourzer zero emberlar clear toairport stound maintain three thousand t four thousand one zero one twro fou point pree five squawk five one four zero
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:04:02,00:04:05,010000Z,ort
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:04:10,00:04:15,010000Z,twfivevadk one taxa t
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:04:27,00:04:31,010000Z,tr four zero zro november alfa
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:04:33,00:04:40,010000Z,u miht turn bik four zwo wo one
KGSO1-Twr-Jun-01-2024-0100Z.wav,00:05:42,00:05:58,010000Z,e readylotfr four ie twowo left heading three two zero fvako one cleared for takeoff i tw zero zero fourthreeto zero fiver kilo ocf feven ig two
