DT Time,Aircraft(Obj),ATIS Transcription Start,ATIS Transcription End,ATIS Transcription Text,Approach/Departure Transcription Start,Approach/Departure Transcription End,Approach/Departure Transcription Text,TOWER Transcription Start,TOWER Transcription End,TOWER Transcription Text
000000Z,[],None,None,None,None,None,None,None,None,None
000030Z,"[{'Time': '000000Z', 'Hex': 'a466c7', 'Distance to GSO': 9.146023045, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 495.0, 'Track': 204.34, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 35.951083, 'Longitude': -79.988183, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.068, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 10.0, 'NAC V': 2.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 16602751, 'Seen': 0.0, 'RSSI': -10.9}]",00:00:00,00:00:03,"""runway two three rig fli fo zro""",00:00:00,00:00:17,"""zero heading zero eight zero cleare fo i zerozeroton zwowtt te""",00:00:00,00:00:02,"""three golf k"""
000100Z,"[{'Time': '000000Z', 'Hex': 'a466c7', 'Distance to GSO': 9.146023045, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 495.0, 'Track': 204.34, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 35.951083, 'Longitude': -79.988183, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.068, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 10.0, 'NAC V': 2.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 16602751, 'Seen': 0.0, 'RSSI': -10.9}]",00:00:27,00:00:30,"""wind calm one zero""",00:00:26,00:00:33,"""vetre to our otwo fovr foswis four four""",00:00:27,00:00:30,"""cuou"""
000130Z,[],00:00:50,00:01:19,"""taxi way delta closed between taxi way kilo and taxi way delto one taxi way kilo klosed between runway one for and taxi way kilo one taxi way te one betwen taxi way delta and  ils runway five right out of service runway five righ approach fht istm out of service runway five right precision approach passing t kaber out of servie runway two three righlt rea tak runway hold short and""",00:01:00,00:01:11,"""t onefthank youower good night""",00:00:50,00:01:03,"""osevn zero ir seven zero one trhtvorc"""
000200Z,"[{'Time': '000155Z', 'Hex': 'a86540', 'Distance to GSO': 9.964054512, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 438.8, 'Track': 260.69, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A2', 'Latitude': 35.957336, 'Longitude': -79.827919, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.059, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 9096978, 'Seen': 0.1, 'RSSI': -14.3}]",00:01:20,00:01:30,"""contact ground two one doint nine for clearance and taxi instructions adlis on initial contact you have information echo""",00:01:30,00:01:35,"""cumberseven six four twro golf q""",00:01:17,00:01:33,"""lot six thr oringptoone"""
000230Z,"[{'Time': '000155Z', 'Hex': 'a86540', 'Distance to GSO': 9.964054512, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 438.8, 'Track': 260.69, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A2', 'Latitude': 35.957336, 'Longitude': -79.827919, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.059, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 9096978, 'Seen': 0.1, 'RSSI': -14.3}, {'Time': '000215Z', 'Hex': 'a32acf', 'Distance to GSO': 9.830213829, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 455.8, 'Track': 53.83, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 36.118011, 'Longitude': -80.138397, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.387, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 19614082, 'Seen': 0.0, 'RSSI': -10.7}]",00:01:34,00:02:14,"""reenborow aerport att informatio echo two three five four zuluwnd calm one zero velig two five thousand broken two three two point three a e thre zero two four visual approach five righ five left an us noci runway one four three two cos taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and""",00:01:58,00:02:16,"""ive five n six fivecosseob five""",00:01:57,00:02:03,"""one delta co cross rum five alf"""
000300Z,"[{'Time': '000200Z', 'Hex': 'a86540', 'Distance to GSO': 9.747219937, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 433.4, 'Track': 259.36, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A2', 'Latitude': 35.955551, 'Longitude': -79.84045, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.059, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 9097019, 'Seen': 0.1, 'RSSI': -7.9}, {'Time': '000215Z', 'Hex': 'a32acf', 'Distance to GSO': 9.830213829, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 455.8, 'Track': 53.83, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 36.118011, 'Longitude': -80.138397, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.387, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 19614082, 'Seen': 0.0, 'RSSI': -10.7}]",00:02:15,00:02:38,"""ils runway five right out of service runway five right approach  sitm out of service runway five right precision approach assintiter out of service runway two three rea  runway hold short indstruction contact groundo to on poit nine for clearance and taxi instruction""",00:02:02,00:02:41,"""threebufur fue uefurapproachgomorning three zero three zerothree zero t zero four e fuvravo atsix bravoutethre four fouf bhank""",00:02:20,00:02:31,"""tower os thre nine fivetowrrwhenkoldvre cleared to land three nine six"""
000330Z,"[{'Time': '000230Z', 'Hex': 'a32acf', 'Distance to GSO': 8.52801447, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 454.4, 'Track': 53.86, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 36.136963, 'Longitude': -80.106297, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.078, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 19614233, 'Seen': 0.0, 'RSSI': -9.3}, {'Time': '000230Z', 'Hex': 'a86540', 'Distance to GSO': 9.365603303, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 400.5, 'Track': 256.87, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A2', 'Latitude': 35.943329, 'Longitude': -79.91003, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.0, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 9097275, 'Seen': 0.0, 'RSSI': -9.9}, {'Time': '000315Z', 'Hex': 'a2d112', 'Distance to GSO': 7.264759733, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 128.8, 'Track': 63.24, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': nan, 'Category': nan, 'Latitude': 36.160034, 'Longitude': -79.808865, 'NIC Navigation Integrity Category': 0.0, 'RC Navigation Accuracy Category': 0.0, 'Seen Position': 0.809, 'Version': nan, 'NIC Baro': nan, 'NAC P': nan, 'NAC V': 0.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': nan, 'SDA System Design Assurance': nan, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 53933, 'Seen': 0.8, 'RSSI': -21.4}]",00:02:54,00:03:33,"""one zero velg two five thousand broken two three two point three ati  three zero two four visual ap proach five right five left nut irunway one four three two close taxi way delta close between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and te ils runway five right out of service runway five right pproach lttm out of service""",00:02:53,00:03:01,"""four five two five""",00:02:50,00:03:05,"""rutoweretofuru"""
000400Z,"[{'Time': '000300Z', 'Hex': 'a32acf', 'Distance to GSO': 6.90734188, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 454.4, 'Track': 53.86, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 36.173603, 'Longitude': -80.0444, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.48, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 19614513, 'Seen': 0.0, 'RSSI': -9.4}, {'Time': '000315Z', 'Hex': 'a2d112', 'Distance to GSO': 7.264759733, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 128.8, 'Track': 63.24, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': nan, 'Category': nan, 'Latitude': 36.160034, 'Longitude': -79.808865, 'NIC Navigation Integrity Category': 0.0, 'RC Navigation Accuracy Category': 0.0, 'Seen Position': 0.809, 'Version': nan, 'NIC Baro': nan, 'NAC P': nan, 'NAC V': 0.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': nan, 'SDA System Design Assurance': nan, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 53933, 'Seen': 0.8, 'RSSI': -21.4}]",00:02:54,00:03:33,"""one zero velg two five thousand broken two three two point three ati  three zero two four visual ap proach five right five left nut irunway one four three two close taxi way delta close between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and te ils runway five right out of service runway five right pproach lttm out of service""",00:03:27,00:03:42,"""two twop g fiveouandproceed direct to deni andcamat one two to  two""",00:03:27,00:03:38,"""to bravo limo five to bravoli"""
000430Z,"[{'Time': '000330Z', 'Hex': 'a32acf', 'Distance to GSO': 7.12877933, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 453.8, 'Track': 53.96, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': 'A3', 'Latitude': 36.211166, 'Longitude': -79.980812, 'NIC Navigation Integrity Category': 8.0, 'RC Navigation Accuracy Category': 186.0, 'Seen Position': 0.182, 'Version': 2.0, 'NIC Baro': 1.0, 'NAC P': 9.0, 'NAC V': 1.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': 2.0, 'SDA System Design Assurance': 2.0, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 19614796, 'Seen': 0.0, 'RSSI': -9.3}, {'Time': '000330Z', 'Hex': 'a2d112', 'Distance to GSO': 7.779566345, 'Data Source Type': '', 'Flight Number': '', 'Aircraft Registration': '', 'Aircraft Type': '', 'Altitude Barometric': '', 'Altitude Geometric': '', 'Ground Speed': 139.0, 'Track': 52.31, 'Barometric Rate': '', 'Squawk Code': '', 'Emergency': 'none', 'Category': nan, 'Latitude': 36.164841, 'Longitude': -79.800053, 'NIC Navigation Integrity Category': 0.0, 'RC Navigation Accuracy Category': 0.0, 'Seen Position': 1.398, 'Version': nan, 'NIC Baro': nan, 'NAC P': nan, 'NAC V': 0.0, 'SIL Source Integrity Level': '', 'SIL Type': 'perhour', 'GVA': nan, 'SDA System Design Assurance': nan, 'Alert': 0.0, 'SPI': 0.0, 'MLAT': '[]', 'TISB': '[]', 'Messages': 53949, 'Seen': 1.4, 'RSSI': -23.5}]",00:03:59,00:04:08,"""greanbr airport ai information echo two three five four zulu wind calm  one o zero""",00:03:56,00:04:00,"""epep""",00:04:00,00:04:02,"""two four"""
